data,sanmenxia,huayuankou,jiahetan,longmen 
2002/5/31,29548800,29548800,39744000,57024000
2002/6/1,29808000,29808000,39744000,59616000
2002/6/2,31104000,31104000,42336000,61776000
2002/6/3,35856000,35856000,47520000,57888000
2002/6/4,41472000,41472000,50976000,69120000
2002/6/5,49680000,49680000,38880000,64800000
2002/6/6,42768000,42768000,46828800,50112000
2002/6/7,44496000,44496000,49680000,57024000
2002/6/8,49680000,49680000,58320000,26352000
2002/6/9,60048000,60048000,63504000,15897600
2002/6/10,64800000,64800000,49680000,92448000
2002/6/11,60048000,60048000,56160000,38016000
2002/6/12,65664000,65664000,57542400,32313600
2002/6/13,62208000,62208000,56160000,27216000
2002/6/14,60048000,60048000,66528000,19008000
2002/6/15,60652800,60652800,63072000,14688000
2002/6/16,57888000,57888000,56160000,9936000
2002/6/17,56592000,56592000,48384000,31104000
2002/6/18,54000000,54000000,56160000,38016000
2002/6/19,50976000,50976000,62208000,45619200
2002/6/20,52704000,52704000,56160000,54432000
2002/6/21,48384000,48384000,62208000,69120000
2002/6/22,47088000,47088000,67824000,70416000
2002/6/23,53136000,53136000,69120000,88128000
2002/6/24,50112000,50112000,51840000,74390400
2002/6/25,41040000,41040000,49420800,73699200
2002/6/26,39312000,39312000,57888000,68256000
2002/6/27,44064000,44064000,77328000,41472000
2002/6/28,51408000,51408000,54864000,53222400
2002/6/29,48816000,48816000,51840000,82944000
2002/6/30,47692800,47692800,60480000,57456000
2002/7/1,53308800,53308800,54864000,54432000
2002/7/2,57456000,57456000,49680000,63504000
2002/7/3,57888000,57888000,51840000,60652800
2002/7/4,57888000,57888000,73440000,54432000
2002/7/5,73612800,73612800,233280000,105408000
2002/7/6,235008000,235008000,76032000,21168000
2002/7/7,259200000,259200000,50112000,11232000
2002/7/8,247104000,247104000,234144000,89856000
2002/7/9,229824000,229824000,240192000,62208000
2002/7/10,248832000,248832000,224640000,60480000
2002/7/11,217728000,217728000,220320000,34128000
2002/7/12,234144000,234144000,226368000,14688000
2002/7/13,237600000,237600000,230688000,14256000
2002/7/14,227232000,227232000,247968000,10713600
2002/7/15,227232000,227232000,253152000,12960000
2002/7/16,228096000,228096000,129600000,13305600
2002/7/17,79488000,79488000,85536000,34128000
2002/7/18,124416000,124416000,112320000,35337600
2002/7/19,66960000,66960000,67392000,28425600
2002/7/20,66528000,66528000,66528000,39744000
2002/7/21,51840000,51840000,60048000,32832000
2002/7/22,57024000,57024000,65664000,43200000
2002/7/23,55296000,55296000,66528000,26956800
2002/7/24,55296000,55296000,71712000,18144000
2002/7/25,58752000,58752000,57715200,22636800
2002/7/26,72576000,72576000,76032000,44841600
2002/7/27,63072000,63072000,63763200,44496000
2002/7/28,51840000,51840000,53568000,22291200
2002/7/29,51840000,51840000,81648000,19353600
2002/7/30,54432000,54432000,65491200,14342400
2002/7/31,60652800,60652800,88128000,17280000
2002/8/1,71280000,71280000,60912000,33264000
2002/8/2,63936000,63936000,68688000,41817600
2002/8/3,65664000,65664000,69120000,53136000
2002/8/4,57888000,57888000,50976000,29635200
2002/8/5,50976000,50976000,75168000,47952000
2002/8/6,59184000,59184000,80352000,37065600
2002/8/7,64800000,64800000,63072000,37324800
2002/8/8,50112000,50112000,54000000,24624000
2002/8/9,50976000,50976000,60480000,22464000
2002/8/10,46656000,46656000,63936000,16934400
2002/8/11,46656000,46656000,83808000,50976000
2002/8/12,54432000,54432000,58320000,60480000
2002/8/13,42768000,42768000,54000000,30240000
2002/8/14,40089600,40089600,47088000,29203200
2002/8/15,34128000,34128000,57888000,22464000
2002/8/16,42336000,42336000,56592000,31104000
2002/8/17,43200000,43200000,66096000,47001600
2002/8/18,48384000,48384000,50976000,21945600
2002/8/19,41040000,41040000,57024000,25920000
2002/8/20,41040000,41040000,59616000,19872000
2002/8/21,52876800,52876800,54000000,19872000
2002/8/22,49248000,49248000,57456000,17712000
2002/8/23,52272000,52272000,61344000,16329600
2002/8/24,55036800,55036800,57888000,23760000
2002/8/25,54950400,54950400,81216000,25056000
2002/8/26,65664000,65664000,38880000,44928000
2002/8/27,41040000,41040000,57542400,59616000
2002/8/28,49248000,49248000,53568000,43200000
2002/8/29,49248000,49248000,54259200,50544000
2002/8/30,49248000,49248000,48816000,44928000
2002/8/31,43804800,43804800,46224000,27216000
2002/9/1,43200000,43200000,43632000,32400000
2002/9/2,36028800,36028800,56160000,39744000
2002/9/3,38188800,38188800,55296000,37152000
2002/9/4,39484800,39484800,50544000,22464000
2002/9/5,38448000,38448000,44928000,31536000
2002/9/6,33955200,33955200,51840000,45619200
2002/9/7,37152000,37152000,64800000,35769600
2002/9/8,63936000,63936000,44928000,27302400
2002/9/9,60480000,60480000,33696000,23846400
2002/9/10,53568000,53568000,48384000,19008000
2002/9/11,50112000,50112000,43891200,19008000
2002/9/12,61776000,61776000,32832000,25315200
2002/9/13,42768000,42768000,27648000,21168000
2002/9/14,32400000,32400000,43027200,36288000
2002/9/15,40608000,40608000,35683200,40608000
2002/9/16,37152000,37152000,41472000,40262400
2002/9/17,39744000,39744000,47952000,54432000
2002/9/18,39744000,39744000,49248000,44496000
2002/9/19,38880000,38880000,56160000,34905600
2002/9/20,40003200,40003200,55728000,55296000
2002/9/21,45532800,45532800,44064000,96768000
2002/9/22,45532800,45532800,32832000,95040000
2002/9/23,28080000,28080000,46224000,78537600
2002/9/24,39744000,39744000,41472000,57888000
2002/9/25,38707200,38707200,39744000,59616000
2002/9/26,32659200,32659200,46656000,64800000
2002/9/27,43891200,43891200,47088000,68256000
2002/9/28,42508800,42508800,42336000,69984000
2002/9/29,51235200,51235200,50976000,64108800
2002/9/30,52099200,52099200,50976000,68688000
2002/10/1,59616000,59616000,82080000,64800000
2002/10/2,77760000,77760000,69984000,60652800
2002/10/3,75772800,75772800,64800000,49248000
2002/10/4,73094400,73094400,68256000,64627200
2002/10/5,69984000,69984000,51840000,68256000
2002/10/6,56592000,56592000,75600000,60048000
2002/10/7,68256000,68256000,49680000,54432000
2002/10/8,66528000,66528000,47088000,23328000
2002/10/9,68688000,68688000,59616000,24019200
2002/10/10,64368000,64368000,55296000,43632000
2002/10/11,52272000,52272000,72576000,44496000
2002/10/12,58320000,58320000,65232000,43200000
2002/10/13,62208000,62208000,67392000,50976000
2002/10/14,63504000,63504000,74736000,44928000
2002/10/15,61689600,61689600,70416000,31104000
2002/10/16,59788800,59788800,71280000,18144000
2002/10/17,61344000,61344000,66096000,15984000
2002/10/18,58752000,58752000,74304000,24364800
2002/10/19,69552000,69552000,72576000,34905600
2002/10/20,65923200,65923200,52704000,32832000
2002/10/21,51062400,51062400,46656000,44064000
2002/10/22,46656000,46656000,47520000,28080000
2002/10/23,35424000,35424000,27648000,33264000
2002/10/24,27648000,27648000,41040000,33523200
2002/10/25,32400000,32400000,41904000,46224000
2002/10/26,28512000,28512000,36720000,37324800
2002/10/27,21600000,21600000,34128000,51840000
2002/10/28,19440000,19440000,28080000,43459200
2002/10/29,24192000,24192000,38016000,32659200
2002/10/30,23328000,23328000,37584000,29376000
2002/10/31,32832000,32832000,35424000,30067200
2002/11/1,35424000,35424000,38880000,32918400
2002/11/2,36288000,36288000,31968000,46224000
2002/11/3,34128000,34128000,36288000,33696000
2002/11/4,30672000,30672000,30672000,36979200
2002/11/5,23068800,23068800,31104000,29376000
2002/11/6,25401600,25401600,31104000,26870400
2002/11/7,29376000,29376000,37152000,34560000
2002/11/8,28080000,28080000,30672000,29808000
2002/11/9,29376000,29376000,32832000,22464000
2002/11/10,26784000,26784000,30240000,26784000
2002/11/11,25920000,25920000,29376000,21600000
2002/11/12,25056000,25056000,26784000,32227200
2002/11/13,25315200,25315200,27648000,22291200
2002/11/14,25315200,25315200,25920000,32140800
2002/11/15,26611200,26611200,23760000,22636800
2002/11/16,27648000,27648000,21168000,21427200
2002/11/17,24192000,24192000,20995200,16934400
2002/11/18,22896000,22896000,28080000,17884800
2002/11/19,23760000,23760000,28512000,18921600
2002/11/20,21600000,21600000,31536000,28512000
2002/11/21,24192000,24192000,24192000,25574400
2002/11/22,25056000,25056000,25056000,22636800
2002/11/23,19872000,19872000,26784000,26438400
2002/11/24,19699200,19699200,25056000,51840000
2002/11/25,21340800,21340800,23328000,63936000
2002/11/26,20736000,20736000,21600000,60048000
2002/11/27,19872000,19872000,23328000,70243200
2002/11/28,19094400,19094400,21772800,56160000
2002/11/29,20736000,20736000,20044800,62726400
2002/11/30,19008000,19008000,19008000,68688000
2002/12/1,21600000,21600000,17971200,58924800
2002/12/2,18144000,18144000,16502400,63936000
2002/12/3,18576000,18576000,18057600,52272000
2002/12/4,17020800,17020800,18316800,50544000
2002/12/5,16416000,16416000,17366400,54000000
2002/12/6,16156800,16156800,17712000,54432000
2002/12/7,17280000,17280000,19353600,78278400
2002/12/8,17712000,17712000,17366400,17712000
2002/12/9,17280000,17280000,17798400,56332800
2002/12/10,17280000,17280000,17452800,54000000
2002/12/11,15984000,15984000,16934400,58752000
2002/12/12,15120000,15120000,17020800,52963200
2002/12/13,15724800,15724800,17020800,57888000
2002/12/14,15724800,15724800,16675200,53568000
2002/12/15,15292800,15292800,15552000,47520000
2002/12/16,15552000,15552000,15638400,41472000
2002/12/17,16588800,16588800,15379200,36288000
2002/12/18,14860800,14860800,15033600,25056000
2002/12/19,14256000,14256000,15724800,15120000
2002/12/20,13132800,13132800,15897600,16416000
2002/12/21,13132800,13132800,16416000,20304000
2002/12/22,14256000,14256000,16588800,13824000
2002/12/23,15120000,15120000,16761600,12614400
2002/12/24,15206400,15206400,17280000,15033600
2002/12/25,15033600,15033600,17107200,13824000
2002/12/26,15465600,15465600,17107200,23155200
2002/12/27,15638400,15638400,17107200,11664000
2002/12/28,15465600,15465600,17020800,14256000
2002/12/29,15465600,15465600,17452800,9072000
2002/12/30,15206400,15206400,17452800,5011200
2002/12/31,15379200,15379200,17625600,5184000
2003/1/1,15638400,15638400,17280000,6480000
2003/1/2,14515200,14515200,16848000,6480000
2003/1/3,15033600,15033600,15120000,4060800
2003/1/4,13910400,13910400,15638400,5788800
2003/1/5,15379200,15379200,15379200,13564800
2003/1/6,14169600,14169600,15379200,12096000
2003/1/7,14515200,14515200,15120000,9849600
2003/1/8,14515200,14515200,15552000,17712000
2003/1/9,14169600,14169600,16243200,20563200
2003/1/10,14947200,14947200,16761600,26784000
2003/1/11,15638400,15638400,17020800,20390400
2003/1/12,15120000,15120000,16416000,19440000
2003/1/13,14342400,14342400,16156800,15552000
2003/1/14,13824000,13824000,15811200,14688000
2003/1/15,12787200,12787200,15292800,19699200
2003/1/16,12441600,12441600,14256000,22464000
2003/1/17,11318400,11318400,13910400,22204800
2003/1/18,11059200,11059200,13996800,15292800
2003/1/19,10886400,10886400,13996800,16848000
2003/1/20,10886400,10886400,13737600,71280000
2003/1/21,10713600,10713600,13737600,31104000
2003/1/22,12096000,12096000,13910400,33523200
2003/1/23,12355200,12355200,13564800,35856000
2003/1/24,11923200,11923200,13737600,19267200
2003/1/25,11750400,11750400,13996800,44755200
2003/1/26,11923200,11923200,11318400,46483200
2003/1/27,11232000,11232000,11577600,27475200
2003/1/28,8726400,8726400,11750400,21600000
2003/1/29,8899200,8899200,11750400,20131200
2003/1/30,8812800,8812800,12096000,19180800
2003/1/31,8899200,8899200,11232000,17280000
2003/2/1,10022400,10022400,11750400,13392000
2003/2/2,9936000,9936000,12268800,14860800
2003/2/3,10022400,10022400,11836800,12441600
2003/2/4,10195200,10195200,11836800,15120000
2003/2/5,10454400,10454400,11836800,19353600
2003/2/6,10195200,10195200,11836800,20995200
2003/2/7,10022400,10022400,12268800,24451200
2003/2/8,10022400,10022400,12268800,16848000
2003/2/9,9676800,9676800,13478400,64368000
2003/2/10,9676800,9676800,14256000,20908800
2003/2/11,11577600,11577600,14688000,25142400
2003/2/12,12614400,12614400,15552000,33868800
2003/2/13,12700800,12700800,14688000,33436800
2003/2/14,12700800,12700800,14515200,36028800
2003/2/15,12182400,12182400,13824000,33868800
2003/2/16,12182400,12182400,13737600,38707200
2003/2/17,12096000,12096000,13564800,39398400
2003/2/18,11664000,11664000,13910400,38188800
2003/2/19,11404800,11404800,13996800,53481600
2003/2/20,11577600,11577600,13996800,36806400
2003/2/21,11750400,11750400,14256000,52531200
2003/2/22,12528000,12528000,14860800,54432000
2003/2/23,12960000,12960000,13910400,54518400
2003/2/24,12528000,12528000,14774400,59616000
2003/2/25,12528000,12528000,14860800,67737600
2003/2/26,11923200,11923200,15897600,39744000
2003/2/27,11836800,11836800,16070400,58147200
2003/2/28,12096000,12096000,24105600,49766400
2003/3/1,16416000,16416000,24364800,48384000
2003/3/2,20131200,20131200,26784000,70848000
2003/3/3,37152000,37152000,47520000,85536000
2003/3/4,51840000,51840000,42336000,72921600
2003/3/5,48384000,48384000,61344000,65232000
2003/3/6,57456000,57456000,51840000,56160000
2003/3/7,50544000,50544000,48384000,49248000
2003/3/8,49680000,49680000,57888000,53740800
2003/3/9,52704000,52704000,50112000,56592000
2003/3/10,47952000,47952000,50544000,53136000
2003/3/11,47520000,47520000,61776000,57024000
2003/3/12,53136000,53136000,51840000,56160000
2003/3/13,49248000,49248000,50112000,57888000
2003/3/14,51840000,51840000,53568000,61344000
2003/3/15,48816000,48816000,49248000,54432000
2003/3/16,49420800,49420800,47520000,56851200
2003/3/17,44064000,44064000,52704000,57888000
2003/3/18,38707200,38707200,42768000,45619200
2003/3/19,42163200,42163200,50544000,43372800
2003/3/20,34560000,34560000,49248000,54432000
2003/3/21,37152000,37152000,43200000,56160000
2003/3/22,41040000,41040000,47952000,25920000
2003/3/23,39312000,39312000,42336000,45187200
2003/3/24,36288000,36288000,45187200,39052800
2003/3/25,33696000,33696000,45792000,39398400
2003/3/26,35856000,35856000,45360000,38880000
2003/3/27,38448000,38448000,45360000,27648000
2003/3/28,38880000,38880000,37152000,34560000
2003/3/29,34992000,34992000,48384000,85708800
2003/3/30,39830400,39830400,43632000,82080000
2003/3/31,35424000,35424000,42336000,95040000
2003/4/1,37152000,37152000,41904000,88128000
2003/4/2,40176000,40176000,41472000,56160000
2003/4/3,39744000,39744000,41472000,60480000
2003/4/4,38448000,38448000,41472000,57542400
2003/4/5,37584000,37584000,41040000,61344000
2003/4/6,34992000,34992000,41904000,54432000
